"You will be redirected to Paytm PG in a few seconds.","You will be redirected to Paytm PG in a few seconds."
"Your payment has been successfully processed by our shop system.","Your payment has been successfully processed by our shop system."
"Please click <a href=""%s"">here</a> if you are not redirected automatically.","Please click <a href=""%s"">here</a> if you are not redirected automatically."
"Customer was redirected to Paytm.","Customer was redirected to Paytm."
"preauthorize: Customer returned successfully","The amount has been preauthorized by Paytm."
"authorize: Customer returned successfully","The amount has been authorized and captured by Paytm."
"Customer was rejected by Paytm","Customer was rejected by Paytm"
"Error occurred","Error occurred"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Paytm Transaction ID: %s","Paytm Transaction ID: %s"
"AVS status: %s","AVS status: %s"
"Paytm_cc:You will be redirected to Paytm website when you place an order.","You will be redirected to Paytm website when you place an order to enter your credit card information."
"Shopping basket","Shopping basket"
"Payment has not been processed yet.","Payment has not been processed yet."
"Authorization","Authorization"
"Preauthorization","Preauthorization"
"Your purchase at","Your purchase at"
"Error during refunding online. Server response: %s","Error during refunding online. Server response: %s"
"Paytm transaction has been captured.","Paytm transaction has been captured."
"The order has been canceled.","The order has been canceled."
"Credit Card Type: %s","Credit Card Type: %s"
"Signature Type","Signature Type"
"Signature parameters","Signature parameters"
"Must be the same as parameters list in Paytm merchant account, if signature type is static.","Must be the same as parameters list in Paytm merchant account, if signature type is static."
"Hide language select","Hide language select"
"Activate to hide language menu on Paytm payment page.","Activate to hide language menu on Paytm payment page."
